filename,Language,text,label,idx,text_line
0,00001.wav,Chinese,2021年的冬天，\n我回了一趟老家探望外婆，\n那年他身体不好，\n住在离村子不远的小镇医院里，\n冬天的风特别刺骨，\n我拎着一袋儿他喜欢吃的水果\n走进了医院。\n外婆见到我时，\n脸上露出了久违的笑容，\n他说，\n你怎么知道我最想吃的就是橙子？\n我们在病房里聊了很多，\n我问他治疗的怎么样？\n他却总是岔开话题，\n说家里最近的事情，\n比如新盖的房子，\n种下的几棵果树，\n我能看出他在努力表现的很坚强，\n但也能感受到他眼中藏不住的疲惫。\n下午的时候，\n我推着他的轮椅到医院后面的花园，\n冬天的阳光很淡，\n却让人觉得温暖。\n外婆静静地看着那些枯黄的树叶，\n忽然开口问我，\n你是不是觉得时间过得太快了？\n我没回答。\n因为我也有同样的感受。\n他开始讲起年轻时候的故事，\n说他当年如何背着我母亲翻过一座山去找工作，\n又如何在最艰难的时候\n种田养家。\n我听着这些故事，\n心里忽然觉得很愧疚，\n愧疚于自己平时总觉得工作忙，\n没时间回来看他，\n而她却从未抱怨我不常回家。\n离开医院的时候，\n我回头看了看花园里的她\n阳光落在她的白发上，\n我心里想着\n以后无论多忙，\n我都要经常回来看她，\n因为陪伴才是他最需要的东西。\n,0,0,2021年的冬天，我回了一趟老家探望外婆，那年他身体不好，住在离村子不远的小镇医院里，冬天的风特别刺骨，我拎着一袋儿他喜欢吃的水果走进了医院。外婆见到我时，脸上露出了久违的笑容，他说，你怎么知道我最想吃的就是橙子？我们在病房里聊了很多，我问他治疗的怎么样？他却总是岔开话题，说家里最近的事情，比如新盖的房子，种下的几棵果树，我能看出他在努力表现的很坚强，但也能感受到他眼中藏不住的疲惫。下午的时候，我推着他的轮椅到医院后面的花园，冬天的阳光很淡，却让人觉得温暖。外婆静静地看着那些枯黄的树叶，忽然开口问我，你是不是觉得时间过得太快了？我没回答。因为我也有同样的感受。他开始讲起年轻时候的故事，说他当年如何背着我母亲翻过一座山去找工作，又如何在最艰难的时候种田养家。我听着这些故事，心里忽然觉得很愧疚，愧疚于自己平时总觉得工作忙，没时间回来看他，而她却从未抱怨我不常回家。离开医院的时候，我回头看了看花园里的她阳光落在她的白发上，我心里想着以后无论多忙，我都要经常回来看她，因为陪伴才是他最需要的东西。
1,00002.wav,Chinese,2022年暑假我终于实现了去云南旅行的梦想。\n云南的美景和独特文化一直是我向往的，\n而这次旅行让我深深感受到它的魅力。\n最让我难忘的是在洱海边骑行的一天，\n那种自由和宁静的感觉至今难忘。\n清晨我从大理古城租了一辆自行车，\n沿着洱海的湖边小道骑行，\n洱海的水面在清晨时分如镜子般平静，\n倒映着周围的青山和天上的白云，\n清风轻轻吹过，湖面泛起点点涟漪，\n阳光洒在水面上，整个画面仿佛是从画中走出来的。\n我边骑车边拍照，不时停下来欣赏眼前的美景。\n一路上我遇到了许多同样骑行的游客，\n有的来自南方，\n有的来自国外，\n大家都被洱海的宁静之美所折服。\n中午我在湖边的一家小餐厅停下，\n品尝了地道的云南美食，\n特别是当地的烤乳扇，\n外焦里嫩，奶香浓郁，让人一口难忘。\n下午我继续骑行，一路欣赏洱海的不同角度，\n有些地方可以看到渔船在湖面上缓缓划过，\n有些地方则被稻田和小山村庄环绕，\n每一处风景都令人流连忘返。\n傍晚时分，我在洱海边的观景台坐下，\n夕阳染红了整个湖面渔船归航的景象，安静而美丽，\n我感受到一种前所未有的宁静与满足。\n这次旅行不仅让我看到了洱海的美，也\n让我更懂得如何在生活中找到内心的宁静。\n,0,1,2022年暑假我终于实现了去云南旅行的梦想。云南的美景和独特文化一直是我向往的，而这次旅行让我深深感受到它的魅力。最让我难忘的是在洱海边骑行的一天，那种自由和宁静的感觉至今难忘。清晨我从大理古城租了一辆自行车，沿着洱海的湖边小道骑行，洱海的水面在清晨时分如镜子般平静，倒映着周围的青山和天上的白云，清风轻轻吹过，湖面泛起点点涟漪，阳光洒在水面上，整个画面仿佛是从画中走出来的。我边骑车边拍照，不时停下来欣赏眼前的美景。一路上我遇到了许多同样骑行的游客，有的来自南方，有的来自国外，大家都被洱海的宁静之美所折服。中午我在湖边的一家小餐厅停下，品尝了地道的云南美食，特别是当地的烤乳扇，外焦里嫩，奶香浓郁，让人一口难忘。下午我继续骑行，一路欣赏洱海的不同角度，有些地方可以看到渔船在湖面上缓缓划过，有些地方则被稻田和小山村庄环绕，每一处风景都令人流连忘返。傍晚时分，我在洱海边的观景台坐下，夕阳染红了整个湖面渔船归航的景象，安静而美丽，我感受到一种前所未有的宁静与满足。这次旅行不仅让我看到了洱海的美，也让我更懂得如何在生活中找到内心的宁静。
2,00003.wav,Chinese,这是我的故事。\n我的旅程从据著名的故宫开始，它是世界上最大保存\n保存最完整的皇宫建筑群。\n当我踏入那\n巨大的红色宫门时，\n仿佛穿越到了历史中，\n精美的雕刻，金碧辉煌的屋顶和广阔的庭院，展现了明清皇朝的恢弘气势。\n在游览太和殿和御花园时，我对这里的建筑工艺\n和丰富的历史灼灼着迷。\n接着我前往距离市区不远的\n长长城沐浴田段这段长城以壮丽的景色和较少的游客而闻名。\n攀登过程虽然辛苦，但站在顶端遥望绵延的山岭和长延伸的长城，\n所有的疲惫都烟消云散。\n站在这座古老的防御工程上，我感受到了一种穿年穿越千年的震撼。\n回到市中心，我参观了天安门广场，\n这是世界上最大的广场之一。\n广场的规模\n壮观规模令人震撼，我花了一些时间沉思它的文化和历史意义。\n不远处\n我还参加了我还参观了天坛，\n一座明代的建筑杰作。\n那圆形的祈年殿即\n壮丽，又象征着天人合一的理念。\n北京的美食同样令人深刻，我品尝了著名的北京烤鸭，这道传承百年的美味令我回味无穷。\n厨师娴熟的切片，\n薄脆的鸭皮和柔嫩的鸭肉把它搭配薄饼和甜面酱，\n简直是味觉的盛宴。\n晚上我漫步在热闹的胡同里，\n这些狭窄的巷子展现了北京传统的一面，\n小院子街边的小吃摊和特色小店，让我感觉到\n当地人的生生活与真实与悠闲，北京是一种充满对比的城市，古老的\n传统和现代的创新在这里交织，\n每一刻都像一段精彩的故事，我很幸运能成为它的一部分。\n,0,2,这是我的故事。我的旅程从据著名的故宫开始，它是世界上最大保存保存最完整的皇宫建筑群。当我踏入那巨大的红色宫门时，仿佛穿越到了历史中，精美的雕刻，金碧辉煌的屋顶和广阔的庭院，展现了明清皇朝的恢弘气势。在游览太和殿和御花园时，我对这里的建筑工艺和丰富的历史灼灼着迷。接着我前往距离市区不远的长长城沐浴田段这段长城以壮丽的景色和较少的游客而闻名。攀登过程虽然辛苦，但站在顶端遥望绵延的山岭和长延伸的长城，所有的疲惫都烟消云散。站在这座古老的防御工程上，我感受到了一种穿年穿越千年的震撼。回到市中心，我参观了天安门广场，这是世界上最大的广场之一。广场的规模壮观规模令人震撼，我花了一些时间沉思它的文化和历史意义。不远处我还参加了我还参观了天坛，一座明代的建筑杰作。那圆形的祈年殿即壮丽，又象征着天人合一的理念。北京的美食同样令人深刻，我品尝了著名的北京烤鸭，这道传承百年的美味令我回味无穷。厨师娴熟的切片，薄脆的鸭皮和柔嫩的鸭肉把它搭配薄饼和甜面酱，简直是味觉的盛宴。晚上我漫步在热闹的胡同里，这些狭窄的巷子展现了北京传统的一面，小院子街边的小吃摊和特色小店，让我感觉到当地人的生生活与真实与悠闲，北京是一种充满对比的城市，古老的传统和现代的创新在这里交织，每一刻都像一段精彩的故事，我很幸运能成为它的一部分。
3,00004.wav,Chinese,在2020年呢我报名参加了学校组织的美国研学活动，\n我跟我的另外两个同学以及许多老师同学们一起参加了这次美国旅行。\n在1月15号我们抵达了美国纽约，\n之后的旅行都是乘坐大巴进行的，\n我跟我同学一起吃了一顿非常丰盛的早餐呢，\n那是一家\n中式餐厅，\n早餐有我熟悉的包子啊、饺子、粥，还有馒头之类的，\n之后我一起乘坐大巴，\n沿着大巴看街上的美国的风景。\n我在车上看到了美国本土的星巴克以及一个哥特式的建筑，\n我还拍照纪念下来，\n之后我跟我的同学一起来到哥伦比亚大学进行参观游览。\n大学的广场非常广阔，阳光洒在草坪上，非常的\n非常赏心悦目啊。\n当时是冬天，所以\n我们穿着羽绒服漫步在\n哥伦比亚大学里，\n我看到了不同学院的各具特色的建筑，\n包括哲学院的和法学院的，\n我还看到有鸽子在地面上散步，\n非常和谐美好的一幕。\n哥伦比亚大学智慧女神\n雅典娜雕像非常的端庄肃穆。\n再就是\n大学有\n大学的参观结束之后，我跟我同学还有老师们一起在这个雕像面前合影留念。\n之后我们坐大巴去到了华尔街，\n我摸到了著名的金牛雕像，\n听说摸了他的牛角，他能为我带来财富，\n也算是一个美好的寓意了。\n我也在这个金牛雕像面前合影留念了。\n之后我跟我的团队一起乘坐游轮去观摩自由女神像，\n如果不是亲眼所见，我是一定不会感受到它的壮观和美丽的。\n果然图片\n带给人的感觉跟亲眼看的完全不一样。\n现场看到这个女生上\n那叫一个蔚为壮观呐。\n在阳光下高他高举着火炬，像是在\n抗争，为了自由。\n呃嗯。\n我总共在美国待了7天就回国了，\n是真的是一次非常精彩并且很有意义的旅行，我觉得。\n,0,3,在2020年呢我报名参加了学校组织的美国研学活动，我跟我的另外两个同学以及许多老师同学们一起参加了这次美国旅行。在1月15号我们抵达了美国纽约，之后的旅行都是乘坐大巴进行的，我跟我同学一起吃了一顿非常丰盛的早餐呢，那是一家中式餐厅，早餐有我熟悉的包子啊、饺子、粥，还有馒头之类的，之后我一起乘坐大巴，沿着大巴看街上的美国的风景。我在车上看到了美国本土的星巴克以及一个哥特式的建筑，我还拍照纪念下来，之后我跟我的同学一起来到哥伦比亚大学进行参观游览。大学的广场非常广阔，阳光洒在草坪上，非常的非常赏心悦目啊。当时是冬天，所以我们穿着羽绒服漫步在哥伦比亚大学里，我看到了不同学院的各具特色的建筑，包括哲学院的和法学院的，我还看到有鸽子在地面上散步，非常和谐美好的一幕。哥伦比亚大学智慧女神雅典娜雕像非常的端庄肃穆。再就是大学有大学的参观结束之后，我跟我同学还有老师们一起在这个雕像面前合影留念。之后我们坐大巴去到了华尔街，我摸到了著名的金牛雕像，听说摸了他的牛角，他能为我带来财富，也算是一个美好的寓意了。我也在这个金牛雕像面前合影留念了。之后我跟我的团队一起乘坐游轮去观摩自由女神像，如果不是亲眼所见，我是一定不会感受到它的壮观和美丽的。果然图片带给人的感觉跟亲眼看的完全不一样。现场看到这个女生上那叫一个蔚为壮观呐。在阳光下高他高举着火炬，像是在抗争，为了自由。呃嗯。我总共在美国待了7天就回国了，是真的是一次非常精彩并且很有意义的旅行，我觉得。
4,00005.wav,Chinese,今天我想和大家分享我去年的陕西之旅，\n当我踏上这片古老的土地，心中充满了期待与敬畏。\n我在陕西之旅的第一站是西安，\n这座千年古都仿佛述说着历史的沧桑，\n漫步在古城墙上，我仿佛能听到历史的回音，\n每一块砖石都承载着厚重的历史。\n走进兵马俑博物馆，\n那一列列栩栩如生的陶俑，让我感受到了秦始皇统一六国的霸气与辉煌。\n接着我来到了清华宫，\n这里曾是唐玄宗与杨贵妃的爱情见证地，\n漫步在温泉旁，\n我仿佛看到他们当年在此嬉戏的场景，\n感受了那份跨越千年的浪漫。\n当然陕西美食也是不容错过的，\n一碗热腾腾的羊肉泡馍，\n让我品尝到了当地\n地道的风味，\n那浓郁的汤汁，鲜嫩的羊肉，还有那香脆的模块，\n每一口都让我回味无穷。\n这次的陕西之旅\n让我深刻感受到了中华文明的博大精深，\n从古老的城墙到壮观的兵马俑，\n从浪漫的清华宫到美味的羊肉泡馍，\n美\n陕西的每一个地方都让我流连忘返。\n在这陕西在这片山西的土地，\n不仅让我领略了历史的厚重，\n更让我感受到了中华文化的魅力。\n我相信每一个来到陕西的人\n都会被这里的魅力所折服。\n每一个来到陕西的人\n在他有生之年内都会再次希希望来到陕西这座历史\n悠久的城市。\n,0,4,今天我想和大家分享我去年的陕西之旅，当我踏上这片古老的土地，心中充满了期待与敬畏。我在陕西之旅的第一站是西安，这座千年古都仿佛述说着历史的沧桑，漫步在古城墙上，我仿佛能听到历史的回音，每一块砖石都承载着厚重的历史。走进兵马俑博物馆，那一列列栩栩如生的陶俑，让我感受到了秦始皇统一六国的霸气与辉煌。接着我来到了清华宫，这里曾是唐玄宗与杨贵妃的爱情见证地，漫步在温泉旁，我仿佛看到他们当年在此嬉戏的场景，感受了那份跨越千年的浪漫。当然陕西美食也是不容错过的，一碗热腾腾的羊肉泡馍，让我品尝到了当地地道的风味，那浓郁的汤汁，鲜嫩的羊肉，还有那香脆的模块，每一口都让我回味无穷。这次的陕西之旅让我深刻感受到了中华文明的博大精深，从古老的城墙到壮观的兵马俑，从浪漫的清华宫到美味的羊肉泡馍，美陕西的每一个地方都让我流连忘返。在这陕西在这片山西的土地，不仅让我领略了历史的厚重，更让我感受到了中华文化的魅力。我相信每一个来到陕西的人都会被这里的魅力所折服。每一个来到陕西的人在他有生之年内都会再次希希望来到陕西这座历史悠久的城市。
5,00006.wav,Chinese,我曾经在一年之内数次去过南京，\n真的是一个很美丽的城市。\n我最好的哥们在那边上学，我们一起在校门外\n小吃街大快朵颐，漫步于伊河路之间，\n骑过梧桐掩映的城墙下，\n无论是景色、气候还是文化，南京都如此让我满足。\n对于一个北方长大的人来说，南京就是想象中南方城市最美好的样子。\n嗯嗯。\n在最美的季节流连于伊河路，\n晴天阳光透过树叶的缝隙，\n斑驳的光影洒在石砖上。这些建筑来自民国时期，\n一如路边望不到尽头的梧桐树，\n确实对得起一条伊河路半部民国史的美誉。\n南京是一座贯通古今的城市，\n深厚的文化底蕴被完好的保留了下来。\n在其侧一座座万丈高楼，\n白天而起，白地而起，\n构建起优美的现代\n都市天际线。\n,0,5,我曾经在一年之内数次去过南京，真的是一个很美丽的城市。我最好的哥们在那边上学，我们一起在校门外小吃街大快朵颐，漫步于伊河路之间，骑过梧桐掩映的城墙下，无论是景色、气候还是文化，南京都如此让我满足。对于一个北方长大的人来说，南京就是想象中南方城市最美好的样子。嗯嗯。在最美的季节流连于伊河路，晴天阳光透过树叶的缝隙，斑驳的光影洒在石砖上。这些建筑来自民国时期，一如路边望不到尽头的梧桐树，确实对得起一条伊河路半部民国史的美誉。南京是一座贯通古今的城市，深厚的文化底蕴被完好的保留了下来。在其侧一座座万丈高楼，白天而起，白地而起，构建起优美的现代都市天际线。
6,00007.wav,Chinese,去年秋天在国庆假期期间我去了杭州，\n采访了一个\n多年未见的朋友，这次旅程对我来说非常特别，因为杭州是我一直想去还没有去\n去的地方。\n而这位杭州而这位朋友是我的高中同学，\n我们自从上大学后就各自忙碌，再也没有见面。\n那天我一早坐上去杭州的高铁车窗外的景色从繁华的城市逐渐变成青山绿水，\n一路上我充满期待，\n到达杭州后朋友在车站接我，我们见面的那一刻\n彼此都笑了，仿佛回到了高中时光。\n他带我去了他\n推荐的那条老街，那是一条非常安静的步行街，\n两旁\n是老旧的房屋和小商铺，他说这里保留了他\n在大学时期两年的记忆，是他最喜欢的地方之一。\n我们在街边首先做一下和力丸热乎乎的桂花藕粉那种淡淡的甜味和桂花的香气，然后\n感受到一种家的温暖。\n我慢慢走在老街上看着那些卖手工艺品的小摊，\n朋友给我讲述了他在\n这里两年\n大学之际发生的故事，\n他说他没当\n难过时或有什么开心的事情都会来。\n这条步行街\n散心游玩。\n我看着他的笑容仿佛也看到了他当时在这条街的样子，下午的时候\n我们去了西湖，\n湖边的柳树已经微微泛黄，\n湖水在阳光下闪烁着金色的光芒，\n我们租了一只小船慢悠悠地滑到湖心，湖面上风很轻，\n带着淡淡的凉意，\n好像和我聊了很多关于他的大学生活和兴趣爱好，\n还有他对未来的打算。\n我们也聊起了高中时点点滴滴那些我们一起熬夜背着一起出去玩的日子时间过得很快，\n夕阳渐渐西沉，湖面上被染上一片橙红色。\n那天晚上我们在湖边的小饭馆吃了一顿晚餐，\n虽然只是一顿家常菜，但因为有老朋友的陪伴显得格外美味。\n饭后我们散步在湖边，\n看着远处的灯火，\n倒映在湖面上，\n像是无数的星星洒落在水中，我深吸一口气，\n感觉这一刻的宁静和美好将永远留在我记忆中。\n,0,6,去年秋天在国庆假期期间我去了杭州，采访了一个多年未见的朋友，这次旅程对我来说非常特别，因为杭州是我一直想去还没有去去的地方。而这位杭州而这位朋友是我的高中同学，我们自从上大学后就各自忙碌，再也没有见面。那天我一早坐上去杭州的高铁车窗外的景色从繁华的城市逐渐变成青山绿水，一路上我充满期待，到达杭州后朋友在车站接我，我们见面的那一刻彼此都笑了，仿佛回到了高中时光。他带我去了他推荐的那条老街，那是一条非常安静的步行街，两旁是老旧的房屋和小商铺，他说这里保留了他在大学时期两年的记忆，是他最喜欢的地方之一。我们在街边首先做一下和力丸热乎乎的桂花藕粉那种淡淡的甜味和桂花的香气，然后感受到一种家的温暖。我慢慢走在老街上看着那些卖手工艺品的小摊，朋友给我讲述了他在这里两年大学之际发生的故事，他说他没当难过时或有什么开心的事情都会来。这条步行街散心游玩。我看着他的笑容仿佛也看到了他当时在这条街的样子，下午的时候我们去了西湖，湖边的柳树已经微微泛黄，湖水在阳光下闪烁着金色的光芒，我们租了一只小船慢悠悠地滑到湖心，湖面上风很轻，带着淡淡的凉意，好像和我聊了很多关于他的大学生活和兴趣爱好，还有他对未来的打算。我们也聊起了高中时点点滴滴那些我们一起熬夜背着一起出去玩的日子时间过得很快，夕阳渐渐西沉，湖面上被染上一片橙红色。那天晚上我们在湖边的小饭馆吃了一顿晚餐，虽然只是一顿家常菜，但因为有老朋友的陪伴显得格外美味。饭后我们散步在湖边，看着远处的灯火，倒映在湖面上，像是无数的星星洒落在水中，我深吸一口气，感觉这一刻的宁静和美好将永远留在我记忆中。
7,00008.wav,Chinese,在一个阳光明媚的周末，我决定去探望我小时候的好朋友小雨。\n啊我们已经有好几年没有见面了，心中充满了期待和紧张。\n嗯还有就是嗯\n可能也是对他的一种想念吧，\n当我走进他家时，几乎感受到当年一块玩的气息。\n呃嗯\n我们我们这儿的人管，\n这样从小玩到大的朋友叫发小，\n啊这种感觉呢十分的奇妙，嗯就是\n呃当年从小看一起看着对方啊互相看着对方一起长大的，\n然后墙上的这个照片呢依旧定格着我们那个时候无数快乐的瞬间。\n呃然后我然后我看到小雨从他的卧室里走出来啊，我们相视一笑，\n不知为何往日快乐瞬间涌上心头，\n啊但同时也夹杂着一丝惆怅。\n我们确实都长大了，\n然后也回不去了。\n嗯现在事情也不再那么简单了，\n我们坐在阳台上聊起了小时候的趣事，\n他提起我们曾经一起在小河边捉鱼，盛夏的午后蝉声阵阵，\n我忍不住笑出声，\n但那一刻我又感到一丝难过，\n时间过去了，我们再也无法回到那个无忧无虑的年纪，\n我们现在有各自的学业，各自的事情要为之奔波。\n嗯然后我们现在\n接触的人和事也都不一样了，然后感觉又\n嗯我们我们之间可能也隔着一层\n呃可悲的厚障壁了，我觉得这个是一个挺可悲的一件事，但是也毫无办法。\n在告别的时候，我心中突然有一种很复杂的情感，\n既有重聚的喜悦，但也有对逝去岁月的怀念。\n这次探访让我明白了，\n虽然时间改变了一切，但那些美好回忆其实依然留在我心中，成为我生命中不可磨灭的一部分。\n,0,7,在一个阳光明媚的周末，我决定去探望我小时候的好朋友小雨。啊我们已经有好几年没有见面了，心中充满了期待和紧张。嗯还有就是嗯可能也是对他的一种想念吧，当我走进他家时，几乎感受到当年一块玩的气息。呃嗯我们我们这儿的人管，这样从小玩到大的朋友叫发小，啊这种感觉呢十分的奇妙，嗯就是呃当年从小看一起看着对方啊互相看着对方一起长大的，然后墙上的这个照片呢依旧定格着我们那个时候无数快乐的瞬间。呃然后我然后我看到小雨从他的卧室里走出来啊，我们相视一笑，不知为何往日快乐瞬间涌上心头，啊但同时也夹杂着一丝惆怅。我们确实都长大了，然后也回不去了。嗯现在事情也不再那么简单了，我们坐在阳台上聊起了小时候的趣事，他提起我们曾经一起在小河边捉鱼，盛夏的午后蝉声阵阵，我忍不住笑出声，但那一刻我又感到一丝难过，时间过去了，我们再也无法回到那个无忧无虑的年纪，我们现在有各自的学业，各自的事情要为之奔波。嗯然后我们现在接触的人和事也都不一样了，然后感觉又嗯我们我们之间可能也隔着一层呃可悲的厚障壁了，我觉得这个是一个挺可悲的一件事，但是也毫无办法。在告别的时候，我心中突然有一种很复杂的情感，既有重聚的喜悦，但也有对逝去岁月的怀念。这次探访让我明白了，虽然时间改变了一切，但那些美好回忆其实依然留在我心中，成为我生命中不可磨灭的一部分。
8,00009.wav,Chinese,去年我去了意大利的威尼斯旅行，这是我梦寐以求的旅行，终于有机会亲自感受这座水上城市的魅力。\n我和几个朋友一起踏上了这趟旅程，刚到这座城市时，我们都被眼前的景色深深震撼。\n威尼斯的街道并不是传统意义上的街道，而是蜿蜒的水道，\n还原环绕着古老的建筑，宛如进入历史的画卷。\n我们迫不及待地坐上了贡多拉这种传统的威尼斯小船，\n缓缓地穿行在水道上，\n船夫熟练的滑动着脚，带领我们穿过那些有厚重历史感的建筑群，水面上倒映着夕阳的余晖，\n给周围的景色增添了几分金色的光辉，\n整个城市显得宁静而神秘。\n除了多贡多拉之旅，我们还参观了圣马可广场，这是威尼斯最著名的广场之一。\n广场上人声鼎沸，\n成群的鸽子在空中飞翔，不时落在地上，吸引游客们喂食。\n广场周围是雄伟的建筑，圣马可教堂的金色圆顶在阳光下\n熠熠生辉。\n在圣马法教堂，\n另外次方和广场上，\n我们遇到了一位画游客肖像的艺术家，\n我让他为我画了一幅肖像，艺术家微笑的轻抚的请求，开始细致的描绘。\n画是充满了咖啡的香气和悠扬的音乐，我在静静等待着，画完后艺术家递给我那幅肖像，\n画中的我看起来比真实的我更加生动而有趣。\n这次偶遇给我留下了深刻的印象，\n在这座历史悠久的城市，所有的瞬间似乎都带着神秘的色彩，\n尤其是那些不经意间发生的插曲，\n让旅行变得更加真实和难忘。\n,1,8,去年我去了意大利的威尼斯旅行，这是我梦寐以求的旅行，终于有机会亲自感受这座水上城市的魅力。我和几个朋友一起踏上了这趟旅程，刚到这座城市时，我们都被眼前的景色深深震撼。威尼斯的街道并不是传统意义上的街道，而是蜿蜒的水道，还原环绕着古老的建筑，宛如进入历史的画卷。我们迫不及待地坐上了贡多拉这种传统的威尼斯小船，缓缓地穿行在水道上，船夫熟练的滑动着脚，带领我们穿过那些有厚重历史感的建筑群，水面上倒映着夕阳的余晖，给周围的景色增添了几分金色的光辉，整个城市显得宁静而神秘。除了多贡多拉之旅，我们还参观了圣马可广场，这是威尼斯最著名的广场之一。广场上人声鼎沸，成群的鸽子在空中飞翔，不时落在地上，吸引游客们喂食。广场周围是雄伟的建筑，圣马可教堂的金色圆顶在阳光下熠熠生辉。在圣马法教堂，另外次方和广场上，我们遇到了一位画游客肖像的艺术家，我让他为我画了一幅肖像，艺术家微笑的轻抚的请求，开始细致的描绘。画是充满了咖啡的香气和悠扬的音乐，我在静静等待着，画完后艺术家递给我那幅肖像，画中的我看起来比真实的我更加生动而有趣。这次偶遇给我留下了深刻的印象，在这座历史悠久的城市，所有的瞬间似乎都带着神秘的色彩，尤其是那些不经意间发生的插曲，让旅行变得更加真实和难忘。
9,00010.wav,Chinese,在2021年的秋天，\n我去探望了一位很久没见的朋友小军。\n小娟是我大学时期最好的朋友，我们一起度过了很多美好的时光。\n在那时我们常常一起熬夜复习，\n讨论人生理想，\n梦想着毕业后能一起闯荡世界。\n然而毕业后我们走上了\n各自走上了不同的道路，\n慢慢的失去了联系。\n每当我想到他总有些遗憾，\n但我们都知道\n生活总是把人带得越来越远。\n直到有一天，\n我收到了他家人的消息，\n说小娟得了重病，情况非常不好，\n听到这个消息，我内心充满了无助和焦虑，\n决定尽快去看他。\n我到达小军家时，\n看到他躺在病床上，瘦的几乎认不出来，\n虽然他勉强笑了笑，\n但眼神里透出了深深疲惫。\n我们坐在他的病床前，\n聊起了我们以前一起度过的那些时光，\n他轻轻地说，\n他一直在等我来看他，\n因为他知道我不会抛下他。\nNike，\n我感到心里像有一块石头压着，\n无法呼吸。\n小军递给我一本笔记本，\n说这是他这段时间写的，\n里面记录了他对过去的回忆，\n对我们的友谊，\n以及他对未来的无奈。\n他说\n如果有一天他自己离开了，\n希望我能记住他，\n也记住曾经那些美好。\n听到这些话，\n我几乎控制不住眼泪，\n然而我只能尽力表现坚强，悄悄地说\n你一定会好起来的。\n那天晚上\n我们并肩坐在院子里，\n听着远处的钟声和风声，\n空气有些冷，\n但他依然不想我走，\n拉着我不放，\n我答应他下次不会回来再看他。\n然而再见的时候，\n我已经再没有机会对他说那句你一定会好惨的话了。\n几个月后小珍去世了，\n我收到消息时心中空落落的，\n仿佛失去了一个永远无法加回来的朋友。\n我打开他留给我的笔记本，\n读了那些文字，\n仿佛他在我身边\n一切都那么真实，却又那么遥远。\n每当我看到那些关于他的协议时，\n心中都会涌上阵阵痛楚。\n也许\n我们总是在失去后才懂得珍惜。\n,1,9,在2021年的秋天，我去探望了一位很久没见的朋友小军。小娟是我大学时期最好的朋友，我们一起度过了很多美好的时光。在那时我们常常一起熬夜复习，讨论人生理想，梦想着毕业后能一起闯荡世界。然而毕业后我们走上了各自走上了不同的道路，慢慢的失去了联系。每当我想到他总有些遗憾，但我们都知道生活总是把人带得越来越远。直到有一天，我收到了他家人的消息，说小娟得了重病，情况非常不好，听到这个消息，我内心充满了无助和焦虑，决定尽快去看他。我到达小军家时，看到他躺在病床上，瘦的几乎认不出来，虽然他勉强笑了笑，但眼神里透出了深深疲惫。我们坐在他的病床前，聊起了我们以前一起度过的那些时光，他轻轻地说，他一直在等我来看他，因为他知道我不会抛下他。Nike，我感到心里像有一块石头压着，无法呼吸。小军递给我一本笔记本，说这是他这段时间写的，里面记录了他对过去的回忆，对我们的友谊，以及他对未来的无奈。他说如果有一天他自己离开了，希望我能记住他，也记住曾经那些美好。听到这些话，我几乎控制不住眼泪，然而我只能尽力表现坚强，悄悄地说你一定会好起来的。那天晚上我们并肩坐在院子里，听着远处的钟声和风声，空气有些冷，但他依然不想我走，拉着我不放，我答应他下次不会回来再看他。然而再见的时候，我已经再没有机会对他说那句你一定会好惨的话了。几个月后小珍去世了，我收到消息时心中空落落的，仿佛失去了一个永远无法加回来的朋友。我打开他留给我的笔记本，读了那些文字，仿佛他在我身边一切都那么真实，却又那么遥远。每当我看到那些关于他的协议时，心中都会涌上阵阵痛楚。也许我们总是在失去后才懂得珍惜。
